"Director_id","Name","Rating","Movie_Count"
nm0248942,Uli Edel,7.4,2
nm0807687,Chris Smith,7.4,2
nm0485943,Walter Lang,7.4,1
nm0242945,George Dunning,7.4,1
nm0368871,Henry Hathaway,7.4,1
nm0706182,Bob Rafelson,7.4,1
nm0788940,Jim Sharman,7.4,1
nm0108745,James Bridges,7.4,1
nm0950759,Woo-Ping Yuen,7.4,1
nm0000626,John Sayles,7.4,1
nm0001252,Vincent Gallo,7.4,1
nm0000806,Bille August,7.4,1
nm0580669,James Merendino,7.4,1
nm0000630,Liev Schreiber,7.4,1
nm1053371,Duncan Tucker,7.4,1
nm0918326,Hans Weingartner,7.4,1
nm0792202,Kirsten Sheridan,7.4,1
nm1383079,Todd Kessler,7.4,1
nm0264236,Richard Eyre,7.4,1
nm1063072,Abbas Tyrewala,7.4,1
nm0082802,Mike Binder,7.4,1
nm0225269,Kirby Dick,7.4,1
nm0346550,Davis Guggenheim,7.4,1
nm0688361,Bill Pohlad,7.4,1
nm1818032,Lee Isaac Chung,7.4,1
nm0208343,Raymond De Felitta,7.4,1
nm0761715,Scott Sanders,7.4,1
nm1154836,Enrico Casarosa,7.4,1
nm3311094,Keishi Otomo,7.4,1
nm2011696,Dee Rees,7.4,1
nm0265852,Philippe Falardeau,7.4,1
nm4824763,Thea Sharrock,7.4,1
nm1841577,László Nemes,7.4,1
nm0257554,Michael Engler,7.4,1
nm3102998,Bo Burnham,7.4,1
nm1203013,Hang-jun Jang,7.4,1
nm2151374,Eliza Hittman,7.4,1
nm0541562,Gail Mancuso,7.4,1
nm2260751,Sally El Hosaini,7.4,1
nm5616219,Nagraj Manjule,7.4,1
nm3817317,Max Barbakow,7.4,1
nm3489851,Shaka King,7.4,1
nm0004716,Darren Aronofsky,7.39,8
nm0000041,Akira Kurosawa,7.38,13
nm0716257,Matt Reeves,7.38,5
nm0948159,Wilson Yip,7.38,4
nm0773603,Julian Schnabel,7.37,3
nm0655683,José Padilha,7.37,3
nm0002191,Jacques Audiard,7.37,3
nm0422484,Norman Jewison,7.35,8
nm0000953,Peter Bogdanovich,7.35,4
nm0591486,Vincente Minnelli,7.35,2
nm0891554,Francis Veber,7.35,2
nm0567620,John Michael McDonagh,7.35,2
nm0354091,Andrew Haigh,7.35,2
nm1024677,John Krasinski,7.35,2
nm0005363,Guy Ritchie,7.33,11
nm1218281,Jon Watts,7.33,4
nm0005237,Anthony Minghella,7.33,3
nm0001302,Christopher Guest,7.33,3
nm0000243,Denzel Washington,7.33,3
nm0000455,John Hughes,7.32,6
nm0955443,Yimou Zhang,7.32,6
nm0339030,Paul Greengrass,7.3,9
nm0000934,Bernardo Bertolucci,7.3,6
nm0009190,J.J. Abrams,7.3,6
nm0950109,Terence Young,7.3,4
nm0000255,Ben Affleck,7.3,4
nm3363032,Ryan Coogler,7.3,4
nm0587955,Bennett Miller,7.3,3
nm0590122,Mike Mills,7.3,3
nm0048918,Sean Baker,7.3,3
nm0853380,Julie Taymor,7.3,2
nm0000200,Bill Paxton,7.3,2
nm0133899,Guillaume Canet,7.3,2
nm0002077,Dexter Fletcher,7.3,2
nm0406334,Armando Iannucci,7.3,2
nm0768959,Dan Scanlon,7.3,2
nm0884547,Tonino Valerii,7.3,1
nm0601800,Robert Moore,7.3,1
nm0643171,Nobuhiko Ôbayashi,7.3,1
nm0371059,Jamie Uys,7.3,1
nm0958558,Andrzej Zulawski,7.3,1
nm0639321,Dan O'Bannon,7.3,1
nm0715916,Jerry Rees,7.3,1
nm0002140,Agnieszka Holland,7.3,1
nm0000788,Gillian Armstrong,7.3,1
nm0436284,Scott Kalvert,7.3,1
nm0733692,Marc Rocco,7.3,1
nm0000786,George Armitage,7.3,1
nm0458251,Cédric Klapisch,7.3,1
nm0262595,Bruce A. Evans,7.3,1
nm7424077,Shantanu Bagchi,7.3,1
nm0606439,Christopher Morris,7.3,1
nm0003557,Richard J. Lewis,7.3,1
nm1223381,Andrés Baiz,7.3,1
nm2609807,Kelly Fremon Craig,7.3,1
nm1392994,Amma Asante,7.3,1
nm0122427,Rob Burnett,7.3,1
nm0290556,James Franco,7.3,1
nm0489309,Éric Lartigau,7.3,1
nm0011752,Maren Ade,7.3,1
nm0312315,Hugo Gélin,7.3,1
nm1706767,Jonah Hill,7.3,1
nm1476102,Jeremiah Zagar,7.3,1
nm0319213,Vince Gilligan,7.3,1
nm0003506,James Mangold,7.27,10
nm0891216,Matthew Vaughn,7.27,7
nm0001175,Blake Edwards,7.27,6
nm0386570,Oliver Hirschbiegel,7.27,3
nm0161834,Derek Cianfrance,7.27,3
nm0001770,Fisher Stevens,7.27,3
nm0815204,Paolo Sorrentino,7.25,4
nm0000134,Robert De Niro,7.25,2
nm0007181,Yash Chopra,7.25,2
nm1717925,Bart Layton,7.25,2
nm1503575,Barry Jenkins,7.25,2
nm0000229,Steven Spielberg,7.24,33
nm0640334,Gavin O'Connor,7.24,5
nm0000184,George Lucas,7.23,6
nm0024622,Alejandro Amenábar,7.23,6
nm0001508,Penny Marshall,7.23,4
nm1128037,Ruben Östlund,7.23,3
nm0000464,Jim Jarmusch,7.22,11
nm0000265,Robert Altman,7.22,8
nm0426059,Rian Johnson,7.22,6
nm0001241,Stephen Frears,7.21,8
nm0001741,Bryan Singer,7.2,10
nm1989536,Marc Webb,7.2,4
nm0487166,Yorgos Lanthimos,7.2,4
nm0193508,Simon Curtis,7.2,4
nm0586281,Takashi Miike,7.2,3
nm0815070,Aaron Sorkin,7.2,3
nm0959062,Terry Zwigoff,7.2,2
nm0003697,Florian Henckel von Donnersmarck,7.2,2
nm0019242,Daniel Alfredson,7.2,2
nm1325899,Travis Knight,7.2,2
nm4170048,Ari Aster,7.2,2
nm0905729,George Waggner,7.2,1
nm0279807,Terence Fisher,7.2,1
nm0179281,Sergio Corbucci,7.2,1
nm0172772,Peter Collinson,7.2,1
nm0764781,Richard C. Sarafian,7.2,1
nm0000045,Bruce Lee,7.2,1
nm0363553,Robert Harmon,7.2,1
nm0793802,Nelson Shin,7.2,1
nm1096524,Jacob Estes,7.2,1
nm0789366,Jessica Sharzer,7.2,1
nm1595280,James Gartner,7.2,1
nm1041597,Morgan Spurlock,7.2,1
nm0190780,Gabor Csupo,7.2,1
nm0432380,Miranda July,7.2,1
nm0035462,Neil Armfield,7.2,1
nm1058247,Goran Dukic,7.2,1
nm0114226,Matt Brown,7.2,1
nm3391600,Kwang Il Han,7.2,1
nm1403221,Potsy Ponciroli,7.2,1
nm2905562,Daniel Barber,7.2,1
nm1850516,Jenny Popplewell,7.2,1
nm1170520,Sophie Hyde,7.2,1
nm0448757,James Kent,7.2,1
nm0506802,Ben Lewin,7.2,1
nm1022455,Benh Zeitlin,7.2,1
nm1509613,Jorge R. Gutiérrez,7.2,1
nm1031708,Mikkel Nørgaard,7.2,1
nm0126096,James Ward Byrkit,7.2,1
nm0735705,Alberto Rodríguez,7.2,1
nm0750275,Björn Runge,7.2,1
nm0266622,Rick Famuyiwa,7.2,1
nm1100217,Richie Smyth,7.2,1
nm1840064,Michael Noer,7.2,1
nm2282774,Chris Appelhans,7.2,1
nm1731154,Farhad Safinia,7.2,1
nm1378015,Subhash Kapoor,7.2,1
nm1682573,Justin Baldoni,7.2,1
nm2776774,Alma Har'el,7.2,1
nm1994243,Scott Z. Burns,7.2,1
nm4315078,Dominic Cooke,7.2,1
nm3229507,Olivia Newman,7.2,1
nm0442241,Philip Kaufman,7.18,5
